,Well_Name,allprodmaxindex,allprodcum,allprodquarter,allprodhalf,allprodthreequarter,halfwaydays,threequarterdays,halfdaysdate,Cumsum_OilProd_Norm,Cumsum_OilProd_ERU
143,Graves Federal 34-24H,101246,545705.4137931037,1667.0,2479.0,3386.0,812.0,907.0,2013,545705.4137931037,0.0
144,Gulf 1 State Cave Hills,29337,387206.0689655172,1131.0,3766.0,8291.0,2635.0,4525.0,1986,387206.0689655172,0.0
147,Harding 34-28-21H,123934,82638.82758620683,452.0,1012.0,1634.0,560.0,622.0,2016,82638.82758620683,0.0
148,Harper 14-16 State WBBRRU,91220,8792.0,115.0,354.0,625.0,239.0,271.0,1986,6372.0,2420.0
149,Harper 15-22 Olson,90170,48517.0,197.0,465.0,762.0,268.0,297.0,1986,37769.0,10748.0
151,Harrison 1-15 Leger,60030,62267.41379310344,639.0,1946.0,4417.0,1307.0,2471.0,1987,62267.41379310344,0.0
152,Harrison 1-20 Carver Heikkila,61468,51950.34482758621,1191.0,2596.0,4310.0,1405.0,1714.0,1989,51950.34482758621,0.0
153,Harrison 1-21 Homer Truman State,29902,39195.172413793116,731.0,2070.0,4288.0,1339.0,2218.0,1987,39195.172413793116,0.0
154,Harrison 1-22 Federal,54766,73076.55172413799,944.0,2407.0,5177.0,1463.0,2770.0,1988,73076.55172413799,0.0
155,Harrison 1-31 State,61643,7528.965517241376,399.0,1038.0,1950.0,639.0,912.0,1984,7528.965517241376,0.0
156,Harrison 1-6 State,60995,95937.58620689648,1461.0,2911.0,4787.0,1450.0,1876.0,1989,95937.58620689648,0.0
157,Harrison 1-7 Davis Holcomb,69213,80818.44827586215,1069.0,2418.0,4314.0,1349.0,1896.0,1988,80818.44827586215,0.0
159,Harrison 1-9 Beck,59561,33121.72413793103,367.0,1158.0,2956.0,791.0,1798.0,1984,33121.72413793103,0.0
160,Harrison 2-29 Federal,77550,50586.55172413795,974.0,2783.0,5612.0,1809.0,2829.0,1991,50586.55172413795,0.0
161,Harrison 2-9 Beck,62136,85263.7931034483,578.0,1670.0,4417.0,1092.0,2747.0,1986,85263.7931034483,0.0
162,Harrison 3-21 Homer Truman,60504,77449.82758620684,1189.0,2650.0,5210.0,1461.0,2560.0,1988,77449.82758620684,0.0
164,Heairet-Henderson 2-22,120679,1169.8275862068967,21.0,82.0,387.0,61.0,305.0,2010,1169.8275862068967,0.0
165,Heikkila 1-20,44941,194842.9310344826,718.0,2244.0,4609.0,1526.0,2365.0,1985,194842.9310344826,0.0
166,Heikkila 1-7,48252,177048.44827586212,568.0,1676.0,3630.0,1108.0,1954.0,1983,177048.44827586212,0.0
167,Helms 1 Coffing,2852,102786.03,786.0,1887.0,5394.0,1101.0,3507.0,1967,102786.03,0.0
168,Hilliard 2 Stearns,86633,32343.55172413794,291.0,740.0,1330.0,449.0,590.0,1986,32343.55172413794,0.0
170,Houston Oil and Minerals 12-12 State,42766,13916.55172413794,319.0,643.0,1145.0,324.0,502.0,1980,13916.55172413794,0.0
173,I-28H McKitrick,123352,183811.3448275861,370.0,855.0,1802.0,485.0,947.0,2015,183811.3448275861,0.0
174,Inland  1-33 Collins,74591,29857.758620689678,1007.0,2339.0,4184.0,1332.0,1845.0,1989,29857.758620689678,0.0
175,Inland 1-29 Federal,78757,50122.24137931038,714.0,1962.0,4072.0,1248.0,2110.0,1987,50122.24137931038,0.0
176,Inland 1-30 Holcomb State,55003,46107.41379310346,453.0,1030.0,2209.0,577.0,1179.0,1983,46107.41379310346,0.0
177,Inland 1-30 Oleson Federal,92534,13647.241379310335,763.0,1966.0,4243.0,1203.0,2277.0,1998,13647.241379310335,0.0
178,Inland 1-32 Federal,92944,55488.275862068986,1013.0,2398.0,4144.0,1385.0,1746.0,1994,55488.275862068986,0.0
179,Inland 3-6 State,96014,112162.06896551725,3076.0,4409.0,6101.0,1333.0,1692.0,2001,112162.06896551725,0.0
180,Inland 3-7 Heikkila,96411,37336.20689655173,940.0,1833.0,3327.0,893.0,1494.0,1994,37336.20689655173,0.0
182,Investors 2 Brings The Horses,3457,94427.0,722.0,2255.0,3711.0,1533.0,1456.0,1989,94427.0,0.0
183,Janvrin A-29H,113445,107408.96551724139,156.0,426.0,761.0,270.0,335.0,2006,100082.41379310346,7326.551724137931
184,Janvrin I-32H,112632,227184.27586206913,784.0,3461.0,4311.0,2677.0,850.0,2014,104223.89655172414,122960.37931034477
185,Janvrin L-28H,114355,242093.10344827594,999.0,1693.0,2619.0,694.0,926.0,2012,21529.758620689652,220563.34482758635
188,Johnson C-9H,112831,435628.5517241378,1179.0,2824.0,4157.0,1645.0,1333.0,2013,141179.00000000003,294449.5517241378
189,Johnson I-9H,114673,224681.8965517242,484.0,2185.0,3145.0,1701.0,960.0,2013,70056.27586206897,154625.6206896551
190,Johnson N-4H,113696,86051.55172413796,136.0,378.0,735.0,242.0,357.0,2007,82470.10344827588,3581.448275862069
192,Joyce Miller 1-PH,99800,165079.8620689656,355.0,747.0,1199.0,392.0,452.0,2005,0.0,165079.8620689656
193,Kirkwood 11-25 Brown,57445,100512.51724137932,639.0,1324.0,2378.0,685.0,1054.0,1984,100512.51724137932,0.0
194,Kirkwood 11-25 Federal WBRRU,35236,136477.3793103448,304.0,910.0,1906.0,606.0,996.0,1980,134307.0,2170.3793103448274
195,Kirkwood 12-20 Arithson,64593,2517.0,72.0,141.0,285.0,69.0,144.0,1982,2517.0,0.0
196,Kirkwood 12-31 Federal WBRRU,50476,70100.5172413793,367.0,981.0,1840.0,614.0,859.0,1981,69015.0,1085.5172413793105
197,Kirkwood 12-6 Federal WBRRU,52850,220727.96551724145,2184.0,5135.0,7257.0,2951.0,2122.0,1994,63684.0,157043.96551724136
198,Kirkwood 13-15 Johnson,59069,125805.27586206853,1919.0,4053.0,6100.0,2134.0,2047.0,1993,125805.27586206853,0.0
199,Kirkwood 14-24 Federal WBRRU,40876,401996.0344827587,2148.0,3745.0,4355.0,1597.0,610.0,1989,125646.0,276350.0344827586
200,Kirkwood 14-31 Travers WBRRU,46182,628611.7241379311,3609.0,6423.0,7995.0,2814.0,1572.0,1996,145732.0,482879.72413793113
201,Kirkwood 21-23 Federal WBRRU,56041,203517.44827586177,3875.0,6636.0,9195.0,2761.0,2559.0,1999,36928.0,166589.44827586174
202,Kirkwood 34-25 Federal WBRRU,45327,363214.06896551716,2013.0,5055.0,7690.0,3042.0,2635.0,1992,112451.0,250763.06896551728
